name,author,narrator,releasedate,language,price,rating_stars,n_ratings,hours,mins,time_mins
Geronimo Stilton #11 & #12,GeronimoStilton,GeronimoStilton,2008-04-08,English,5.62,,34.0,2,20,140
The Burning Maze,RickRiordan,RickRiordan,2018-01-05,English,9.84,4.5,41.0,13,8,788
The Deep End,JeffKinney,JeffKinney,2020-06-11,English,4.92,4.5,38.0,2,3,123
Daughter of the Deep,RickRiordan,RickRiordan,2021-05-10,English,7.38,4.5,12.0,11,16,676
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,RickRiordan,2010-01-13,English,9.84,4.5,181.0,10,0,600
The Hunger Games: Special Edition,SuzanneCollins,SuzanneCollins,2018-10-30,English,7.87,,72.0,10,35,635
Quest for the Diamond Sword,WinterMorgan,WinterMorgan,2014-11-25,English,2.8,,11.0,2,23,143
The Dark Prophecy,RickRiordan,RickRiordan,2017-02-05,English,9.84,,50.0,12,32,752
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,2017-02-05,English,15.07,,5.0,10,56,656
The Tyrant’s Tomb,RickRiordan,RickRiordan,2019-09-24,English,9.84,,58.0,13,22,802
"The Titan's Curse: Percy Jackson, Book 3",RickRiordan,RickRiordan,2010-01-14,English,9.84,4.5,130.0,8,48,528
Magic Tree House Collection: Books 9-16,MaryPopeOsborne,MaryPopeOsborne,2011-08-24,English,14.47,,6.0,5,23,323
Magic Tree House Collection: Books 1-8,MaryPopeOsborne,MaryPopeOsborne,2011-09-27,English,14.47,,7.0,6,1,361
Magnus Chase and the Ship of the Dead,RickRiordan,RickRiordan,2017-03-10,English,9.84,,41.0,12,58,778
Northern Lights,PhilipPullman,PhilipPullman,2021-06-24,English,13.12,,2.0,11,55,715
Geronimo Stilton #13 and #14,GeronimoStilton,GeronimoStilton,2008-08-02,English,5.6,4.5,33.0,2,25,145
Magic Tree House Collection,MaryPopeOsborne,MaryPopeOsborne,2004-12-26,English,14.47,,7.0,5,4,304
Exile,ShannonMessenger,ShannonMessenger,2018-06-11,English,10.03,,20.0,14,41,881
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,2017-02-05,English,15.07,,11.0,10,18,618
